barrio,tipo_anomalia,year,month,lst_mean_c,lst_coldspot_delta_c,lst_neighbor_delta_c,thermal_coldspot_zscore,thermal_neighbor_zscore,cloud_cover_pct,n_valid_pixels,thermal_leak_flag,source
20-RABASA,normal,2023,6,29.8,-1.22,-0.36,-0.01,-0.36,8.2,106,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2023,7,39.4,-2.2,-0.61,-0.91,-0.61,18.3,118,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2023,8,37.6,-1.49,-0.06,-0.27,-0.06,29.9,93,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2023,9,30.7,-1.71,0.26,-0.47,0.26,26.7,115,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2023,10,24.5,-0.82,0.53,0.35,0.53,27.5,165,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2023,11,21.8,-0.67,-0.38,0.48,-0.38,24.4,155,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2023,12,13.2,-1.13,-0.35,0.07,-0.35,5.9,105,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,1,14.6,-1.4,-1.24,-0.18,-1.24,7.7,199,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,2,17.3,-0.6,0.49,0.54,0.49,13.0,88,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,3,16.1,-0.39,-0.74,0.73,-0.74,21.3,177,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,4,20.5,-1.02,0.5,0.16,0.5,11.3,83,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,5,25.0,-1.59,-0.85,-0.36,-0.85,15.1,200,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,6,32.1,-1.01,-0.39,0.17,-0.39,5.8,142,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,7,40.5,-0.69,0.84,0.46,0.84,25.1,166,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,8,37.4,-1.42,0.32,-0.2,0.32,33.4,140,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,9,31.3,-1.6,-1.56,-0.36,-1.56,19.9,145,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,10,23.8,-1.17,0.37,0.02,0.37,24.7,167,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,11,17.4,-0.52,0.98,0.62,0.98,13.9,223,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2024,12,17.3,-0.83,-0.43,0.34,-0.43,28.8,211,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,1,15.5,-1.49,1.46,-0.27,1.46,12.6,108,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,2,17.5,-1.11,-0.6,0.08,-0.6,20.9,157,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,3,20.4,-1.99,-1.36,-0.72,-1.36,21.5,131,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,4,19.3,-1.45,-0.49,-0.23,-0.49,29.6,237,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,5,25.8,-1.46,-2.02,-0.24,-2.02,6.6,162,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,6,34.1,-1.14,-0.01,0.05,-0.01,12.4,248,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,7,37.2,-0.83,0.13,0.34,0.13,24.1,130,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,8,36.9,-1.34,0.49,-0.12,0.49,26.1,226,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,9,30.6,-0.52,-0.71,0.62,-0.71,33.0,82,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,10,23.9,-1.68,0.67,-0.43,0.67,27.6,197,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,11,18.4,-1.1,-1.05,0.09,-1.05,5.7,94,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,12,16.0,-2.12,-0.16,-0.84,-0.16,26.8,83,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,1,15.5,-1.28,1.76,-0.07,1.76,11.1,88,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,2,14.7,-2.26,-1.46,-0.97,-1.46,29.7,198,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,3,18.4,-1.73,0.18,-0.48,0.18,25.5,105,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,4,18.8,-1.26,0.62,-0.05,0.62,27.0,228,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,5,25.2,-0.48,0.5,0.65,0.5,5.9,85,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,6,31.2,-0.53,0.92,0.61,0.92,8.9,93,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,7,39.9,-0.96,0.22,0.22,0.22,34.7,143,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,8,39.3,-0.57,-0.62,0.57,-0.62,9.1,137,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,9,32.2,-0.13,1.42,0.97,1.42,12.2,115,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,10,24.5,-0.47,-0.05,0.66,-0.05,21.6,195,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,11,18.0,-0.54,1.46,0.6,1.46,23.7,156,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,12,15.1,-1.68,0.09,-0.43,0.09,16.9,111,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,1,14.4,-1.84,-0.19,-0.58,-0.19,21.6,209,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,2,13.9,-1.09,-0.47,0.1,-0.47,34.2,200,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,3,18.7,-1.47,0.31,-0.25,0.31,23.9,146,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,4,22.0,-1.93,-0.1,-0.67,-0.1,29.8,185,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,5,26.0,-0.25,0.97,0.86,0.97,28.0,170,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,6,33.3,-1.41,0.62,-0.19,0.62,12.8,156,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,7,39.2,-0.47,-0.25,0.67,-0.25,22.9,215,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,8,36.7,-1.11,-0.33,0.09,-0.33,19.3,105,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,9,32.9,-1.68,-0.67,-0.44,-0.67,31.8,210,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,10,26.3,-1.82,-0.93,-0.57,-0.93,34.2,176,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,11,19.7,-1.22,0.67,-0.01,0.67,13.4,221,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,12,14.6,-1.84,0.44,-0.58,0.44,25.3,193,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,1,17.1,-1.24,-0.02,-0.04,-0.02,16.0,116,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,2,17.0,-0.52,0.46,0.62,0.46,23.3,88,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,3,18.0,-1.65,-0.21,-0.41,-0.21,19.3,87,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,4,21.8,-1.42,-1.32,-0.2,-1.32,12.7,148,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,5,26.4,-2.53,-0.56,-1.21,-0.56,13.0,180,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,6,31.4,-1.1,-0.8,0.09,-0.8,20.8,197,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,7,41.3,-0.72,-0.13,0.44,-0.13,5.5,120,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,8,37.9,-1.06,1.42,0.13,1.42,17.9,249,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,9,30.6,-2.06,-0.14,-0.78,-0.14,30.0,204,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,10,23.9,-1.31,0.21,-0.1,0.21,21.5,170,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,11,16.2,-0.98,0.32,0.2,0.32,8.2,105,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,12,13.7,-0.54,0.26,0.6,0.26,32.7,206,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,1,13.2,-1.18,-1.34,0.02,-1.34,15.8,212,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,2,13.4,-1.22,0.52,-0.02,0.52,16.2,238,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,3,18.4,-0.22,0.26,0.89,0.26,24.2,224,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,4,19.7,-1.86,-0.06,-0.6,-0.06,18.8,172,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,5,25.2,-0.71,0.52,0.44,0.52,6.6,240,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,6,32.5,-1.26,0.15,-0.05,0.15,16.4,101,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,7,38.9,-1.28,-1.46,-0.07,-1.46,14.7,193,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,8,39.1,-1.46,0.69,-0.24,0.69,13.4,190,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,9,30.5,-1.07,-0.35,0.12,-0.35,33.3,225,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,10,25.5,-0.67,-0.1,0.48,-0.1,10.3,97,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,11,18.3,-1.52,-1.01,-0.29,-1.01,19.8,158,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,12,15.1,-1.49,-0.11,-0.26,-0.11,32.9,245,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,1,14.5,-1.18,-0.28,0.02,-0.28,20.8,241,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,2,14.7,-1.13,0.54,0.06,0.54,25.3,167,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,3,19.0,-0.85,0.89,0.32,0.89,32.7,191,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,4,22.9,-0.06,-1.24,1.04,-1.24,7.1,185,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,5,28.4,-0.77,0.06,0.39,0.06,11.2,159,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,6,31.7,-0.71,-1.44,0.44,-1.44,31.8,180,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,7,39.9,-0.26,-0.1,0.85,-0.1,22.7,238,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,8,39.2,-0.73,0.64,0.42,0.64,10.9,81,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,9,32.4,0.39,0.39,1.44,0.39,16.3,212,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,10,25.6,-1.2,-0.45,-0.0,-0.45,31.9,158,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,11,18.4,0.01,0.03,1.1,0.03,34.7,99,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,12,15.5,-0.89,-1.35,0.29,-1.35,16.4,159,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,1,15.0,-1.2,-0.51,0.0,-0.51,30.9,139,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,2,15.7,-1.67,0.17,-0.43,0.17,22.2,99,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,3,19.1,-1.12,0.16,0.07,0.16,20.7,225,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,4,22.7,-0.81,-1.08,0.35,-1.08,29.7,131,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,5,25.6,-0.93,-0.59,0.24,-0.59,7.5,89,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,6,31.1,-1.25,-0.66,-0.05,-0.66,7.6,126,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,7,38.5,-0.68,1.36,0.47,1.36,23.4,232,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,8,37.6,-2.24,-0.46,-0.95,-0.46,31.3,137,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,9,30.0,-0.5,-0.1,0.63,-0.1,22.2,224,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,10,26.3,-0.52,-0.42,0.62,-0.42,8.9,144,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,11,18.8,-1.06,0.03,0.13,0.03,10.2,174,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,12,15.0,-1.69,0.02,-0.45,0.02,12.7,187,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,1,14.5,-1.58,0.36,-0.34,0.36,34.2,86,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,2,17.3,-1.86,0.59,-0.6,0.59,30.4,246,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,3,17.4,-0.67,0.75,0.48,0.75,19.6,201,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,4,22.2,-0.95,-0.11,0.23,-0.11,5.4,195,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,5,27.3,-0.98,0.22,0.2,0.22,28.4,144,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,6,33.6,-0.68,1.83,0.47,1.83,26.8,104,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,7,40.3,-1.22,0.12,-0.02,0.12,34.3,188,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,8,39.9,-0.7,-0.45,0.46,-0.45,27.1,98,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,9,31.9,-1.56,0.76,-0.32,0.76,24.2,154,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,10,26.8,-0.92,-0.1,0.25,-0.1,10.3,228,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,11,18.6,-0.78,-0.26,0.38,-0.26,9.8,170,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2023,12,13.6,0.26,-0.43,1.33,-0.43,27.5,94,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,1,12.1,-1.37,-0.06,-0.16,-0.06,30.1,107,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,2,16.9,-1.82,0.36,-0.56,0.36,32.2,104,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,3,18.6,-1.03,0.72,0.15,0.72,26.6,174,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,4,21.0,-0.35,-0.25,0.78,-0.25,32.4,195,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,5,25.7,-1.16,-0.17,0.04,-0.17,30.3,90,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,6,32.5,-1.58,0.19,-0.35,0.19,8.7,151,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,7,39.0,-0.88,0.91,0.29,0.91,15.7,119,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,8,39.4,-1.22,-1.59,-0.02,-1.59,6.1,147,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,9,28.9,-1.18,0.61,0.02,0.61,5.8,88,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,10,24.4,-1.26,0.41,-0.05,0.41,15.1,185,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,11,19.6,-1.19,-0.84,0.01,-0.84,17.3,137,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2024,12,14.7,-1.27,-0.24,-0.07,-0.24,6.1,147,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,1,13.3,-1.92,0.97,-0.65,0.97,28.1,116,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,2,15.5,-0.61,-0.9,0.53,-0.9,17.3,147,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,3,17.4,-0.62,0.02,0.52,0.02,11.3,185,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,4,22.6,-0.97,-0.28,0.21,-0.28,30.6,97,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,5,26.1,-2.14,0.23,-0.85,0.23,6.6,171,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,6,31.7,-1.81,0.58,-0.56,0.58,23.7,91,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,7,40.6,-0.81,0.38,0.35,0.38,29.7,216,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,8,38.3,-1.14,0.81,0.05,0.81,21.5,244,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,9,31.6,-0.73,0.53,0.43,0.53,12.9,232,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,10,24.9,-1.55,1.52,-0.32,1.52,31.9,135,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,11,17.0,-0.46,-0.33,0.68,-0.33,8.2,117,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2022,12,14.7,-0.45,-0.36,0.68,-0.36,31.4,232,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,1,15.3,-1.04,-1.01,0.14,-1.01,34.0,130,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,2,17.1,-1.26,1.92,-0.05,1.92,32.2,247,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,3,18.8,-0.53,-0.88,0.6,-0.88,5.6,247,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,4,21.6,-1.6,-0.59,-0.36,-0.59,27.1,207,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,5,24.6,-0.39,0.63,0.74,0.63,18.5,237,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,6,32.1,-1.24,0.83,-0.04,0.83,30.7,169,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,7,38.1,-0.58,-0.4,0.56,-0.4,15.1,150,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,8,41.0,-1.18,-0.6,0.02,-0.6,6.3,137,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,9,29.8,-1.69,0.75,-0.44,0.75,18.7,183,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,10,24.7,-1.38,0.59,-0.16,0.59,28.3,175,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,11,17.8,-1.37,0.62,-0.15,0.62,24.4,95,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2023,12,14.6,-0.81,-1.15,0.36,-1.15,11.1,180,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2024,1,15.8,-1.47,-0.0,-0.25,-0.0,10.4,227,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2024,2,15.7,-0.75,0.17,0.41,0.17,29.5,200,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2024,3,17.2,-0.78,0.2,0.38,0.2,31.3,134,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2024,4,22.0,-0.45,-0.32,0.69,-0.32,10.4,138,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2024,5,26.3,-1.65,1.29,-0.41,1.29,30.6,99,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2024,6,32.2,-1.47,0.55,-0.25,0.55,18.0,205,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2024,7,39.7,-1.81,0.79,-0.56,0.79,16.0,173,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2024,8,39.2,-0.69,-0.05,0.46,-0.05,8.6,230,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2024,9,32.5,-1.95,-1.07,-0.68,-1.07,18.3,249,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2024,10,25.8,-1.09,1.11,0.1,1.11,18.9,175,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
28-EL PALMERAL,normal,2024,11,18.1,-0.59,0.37,0.55,0.37,5.1,218,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
